"Location","Year","Product","Source","Tonnes"
"Norway",2020,"Fishmeal","Whole_fish",174172
"Norway",2020,"Fishmeal","Trimmings",65539
"Norway",2020,"Fish oil","Whole_fish",164611
"Norway",2020,"Fish oil","Trimmings",38986
